Product Code,Description,Creditor Code,Creditor Name,Supplier Cost Date,Supplier Cost,"Additional
Cost Bs",Latest Cost Bs,Supplier Standard Cost,Minimum Order Quantity,Vendors Code,"Lead
Time","Time
Unit","Last
Receipt",Default
#70030,GP Box Board 484G 0760x1020 Lg,BAL2,B.J. Ball Papers,31/10/2018,$0.742,$0.275,$1.017,$0.742,,,2,Weeks,31/10/2018,1
#CLOTH-9,Rolls of Superfibre Cloth,HEAL,HEALTH PAK LTD,29/10/2013,$0.000,$15.088,$15.088,$0.000,,,,Days,29/10/2013,0
#CLOTH-9,Rolls of Superfibre Cloth,OPTICA,OPTICA,,,,,,,,,,,1
#CLOTH-9,Rolls of Superfibre Cloth,SHEN1,Sheng Hung Industrial Co. Ltd.,30/05/2014,$1.008,$0.003,$1.011,$0.800,,WM-3080 WHITE (PER METRE),,Weeks,29/12/2006,0
#LABEL,Self Adhesive Labels Stock,CUS2,CUSTOM CUTTING FORMES LTD,30/11/2018,$0.357,$0.000,$0.357,$0.339,,,3,Weeks,30/11/2018,1
#SP120,Blocks of Super-fibre Cloth 240x255,OPTICA,OPTICA,,,,,,,,,,,1
#SP130,Blocks of Super-fibre Cloth 260x260,OPTICA,OPTICA,,,,,,,,,,,1
#SP135,Blocks of Super-fibre Cloth 270x255,OPTICA,OPTICA,,,,,,,,,,,1
00238123,Prosafe Underground Lens Cleaning Towelette (100),EASYCUSD,"Easyclean Co.,Ltd",5/07/2019,$2.850,$0.000,$4.263,$2.850,,PUNDBOX0719,,Weeks,,1
01581773,Para'Kito Mosquito Prot Band & Pellet - Black,EVERGUSD,Evergreen Land,10/08/2018,$5.450,$1.461,$9.692,$5.450,,INWB01A,4,Weeks,10/08/2018,1
01581790,Para'Kito Mosquito Prot Pellet Refills PK2 -25box,EVERG,Evergreen Land,4/05/2018,$4.273,$0.750,$5.023,$3.200,,BXREF50,4,Weeks,4/05/2018,0
01581790,Para'Kito Mosquito Prot Pellet Refills PK2 -25box,EVERGUSD,Evergreen Land,20/06/2019,$3.200,$0.108,$5.001,$3.200,,BXREF50,4,Weeks,20/06/2019,1
03422295,Prosafe Pack Wipes Mitywipe AF Cleaner SCT40 (100),EASYC,"Easyclean Co.,Ltd",26/04/2018,$3.098,$0.000,$3.098,$2.190,,SCT40-100,,Weeks,26/04/2018,0
03422295,Prosafe Pack Wipes Mitywipe AF Cleaner SCT40 (100),EASYCUSD,"Easyclean Co.,Ltd",14/02/2019,$2.190,$0.000,$3.216,$2.190,,SCT40-100,12,Weeks,14/02/2019,1
03792044,(CHA) Prosafe MITYWIPE Towelettes x300 (SACT40),EASYC,"Easyclean Co.,Ltd",31/03/2016,$9.692,$0.000,$9.692,$0.000,,SACT40,,Weeks,26/04/2018,0
03792044,(CHA) Prosafe MITYWIPE Towelettes x300 (SACT40),EASYCUSD,"Easyclean Co.,Ltd",18/06/2019,$6.450,$0.000,$9.932,$6.450,,PSMWBOX1118,12,Weeks,18/06/2019,1
03989908,Prosafe 200ml Lens Cleaner Spray Pump,EASYC,"Easyclean Co.,Ltd",30/04/2018,$1.073,$0.000,$1.073,$0.760,,200ML-28/410,12,Weeks,30/04/2018,0
03989908,Prosafe 200ml Lens Cleaner Spray Pump,EASYCUSD,"Easyclean Co.,Ltd",18/06/2019,$0.760,$0.000,$1.170,$0.760,,PS200LBL1118,12,Weeks,18/06/2019,1
07169264,(CHA) Prosafe LENS CLEANER Mini Towelettes x500 (UWIPE),EASYCUSD,"Easyclean Co.,Ltd",18/06/2019,$8.610,$0.000,$13.258,$8.610,,PSUWBOX1118,12,Weeks,18/06/2019,1
10MPBG,100mm Bright Green Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPBRO,100mm Bright Orange Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPG,100mm Forest Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPGD,100mm Gold Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPM,100mm Mauve Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPN,100mm Blue Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPOS,Master: 100mm Screen Printed M/C,CMAUSD,CMA Global,,,,,,,,,,,1
10MPOSW-TRUSHAMI,Truscot Hamilton Thompson  140x100mm White screen print M/C,CMAUSD,CMA Global,2/07/2019,$0.200,$0.070,$0.370,$0.200,,10MPOSW-TRUSHAMI,3,Weeks,2/07/2019,1
10MPS,100mm Silver Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPT,100mm Teal Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MPW,100mm White Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUBG,100mm Bright Green Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUGD,100mm Gold Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUK,100mm Black Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUM,100mm Mauve Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUN,100mm Blue Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUS,100mm Silver Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUT,100mm Teal Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
10MUW,100mm White Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
120SP,120x85mm Case Cloths Printed,OPTICA,OPTICA,,,,,,,,,,,1
120SU,120x85mm Case Cloths Unprinted,OPTICA,OPTICA,,,,,,,,,,,1
135SP,135x85mm Nonwoven Microcloth Printed,OPTICA,OPTICA,,,,,,,,,,,1
135SU,135x85mm Case Cloths Unprinted,OPTICA,OPTICA,,,,,,,,,,,1
15MPBG,150mm Bright Green Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPBRO,150mm Bright Orange Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPG,150mm Forest Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPGD,150mm Gold Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPM,150mm Mauve Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPMENAIPV,Menai 150x140mm Blue Screen Print M/F Cloth w/ Silicon Back,CMAUSD,CMA Global,26/06/2018,$0.339,$0.078,$0.569,$0.280,,MKA-BLUE 10/14X15CM/Z.Z.CUT,3,Weeks,26/06/2018,0
15MPMENAIPV,Menai 150x140mm Blue Screen Print M/F Cloth w/ Silicon Back,OPTICA,OPTICA,,,,,,,,,,,1
15MPN,150mm Blue Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPN-WINDSORAUD,Windsor Silicon Back 150x140 Mauve Screen Print M/F Cloth,CMAUSD,CMA Global,15/10/2018,$0.420,$0.054,$0.699,$0.420,,150X140MM MKA10,3,Weeks,15/10/2018,0
15MPN-WINDSORAUD,Windsor Silicon Back 150x140 Mauve Screen Print M/F Cloth,OPTICA,OPTICA,,,,,,,,,,,1
15MPOS,Master: 150mm Screen Printed M/C,CMAUSD,CMA Global,,,,,,,,,,,1
15MPOST-RMOPTTWPV,Sankey Fraser 140x150mm Teal Screen Printed M/C,CMAUSD,CMA Global,19/02/2019,$0.216,$0.100,$0.415,$0.220,,NT5 TEAL,4,Weeks,19/02/2019,1
15MPOSW-TWOPTAUD,Trevor Ward 140x150mm White Screen Printed M/C,CMAUSD,CMA Global,28/12/2018,$0.240,$0.080,$0.434,$0.000,,,,Weeks,28/12/2018,1
15MPS,150mm Silver Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPSOS-LOBBOPT,Lobb & Assoc 150x140 Silver Screen Print M/F Cloth,CMAUSD,CMA Global,2/07/2019,$0.240,$0.070,$0.430,$0.240,,MKA10 150X140 ZIG ZAG,3,Weeks,2/07/2019,1
15MPT,150mm Teal Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPT-WINDSORAUD,Windsor Silicon Back 150x140 Teal Screen Print M/F Cloth,CMAUSD,CMA Global,15/10/2018,$0.420,$0.054,$0.699,$0.420,,150X140MM MKA10,3,Weeks,15/10/2018,0
15MPT-WINDSORAUD,Windsor Silicon Back 150x140 Teal Screen Print M/F Cloth,OPTICA,OPTICA,,,,,,,,,,,1
15MPTOS-MCDOADAM,McDonald Adams 150x140 Teal Screen Print M/F Cloth,CMAUSD,CMA Global,2/07/2019,$0.240,$0.070,$0.430,$0.240,,MKA10 150X140 ZIG ZAG,3,Weeks,2/07/2019,1
15MPW,150mm White Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MPWOPTSYLVPV,Optom Sylvania 150mm White Printed M/C,CMAUSD,CMA Global,16/10/2018,$0.000,$0.000,$0.000,$0.280,,MKA-WHITE 10/14X15CM/Z.Z.CUT,4,Weeks,,1
15MPWOPTSYLVPV,Optom Sylvania 150mm White Printed M/C,DELK1,CMA Global,9/05/2018,$0.398,$0.085,$0.483,$0.280,,MKA-WHITE 10/14X15CM/Z.Z.CUT,3,Weeks,9/05/2018,0
15MUBG,150mm Bright Green Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUBRO,150mm Bright Orange Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUG,150mm Forest Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUK,150mm Black Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUM,150mm Mauve Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUN,150mm Blue Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUS,150mm Silver Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUT,150mm Teal Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
15MUW,150mm White Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
1805006IND100,5pcs Pack of Basic Reader 2 Power +1.00,KEEN,Keen Look Co. Ltd,20/03/2018,$0.000,$0.000,$0.000,$0.000,,,,Weeks,,0
1805006IND100,5pcs Pack of Basic Reader 2 Power +1.00,OPTICA,OPTICA,,,,,,,,,,,1
1805039IND150,5pcs Pack of Basic Reader 2 Power +1.50,KEEN,Keen Look Co. Ltd,20/03/2018,$0.000,$0.000,$0.000,$0.000,,,,Weeks,,0
1805039IND150,5pcs Pack of Basic Reader 2 Power +1.50,OPTICA,OPTICA,,,,,,,,,,,1
1805040IND200,5pcs Pack of Basic Reader 2 Power +2.00,KEEN,Keen Look Co. Ltd,20/03/2018,$0.000,$0.000,$0.000,$0.000,,,,Weeks,,0
1805040IND200,5pcs Pack of Basic Reader 2 Power +2.00,OPTICA,OPTICA,,,,,,,,,,,1
1805050IND250,5pcs Pack of Basic Reader 2 Power +2.50,KEEN,Keen Look Co. Ltd,20/03/2018,$0.000,$0.000,$0.000,$0.000,,,,Weeks,,0
1805050IND250,5pcs Pack of Basic Reader 2 Power +2.50,OPTICA,OPTICA,,,,,,,,,,,1
1805185IND300,5pcs Pack of Basic Reader 2 Power +3.00,KEEN,Keen Look Co. Ltd,20/03/2018,$0.000,$0.000,$0.000,$0.000,,,,Weeks,,0
1805185IND300,5pcs Pack of Basic Reader 2 Power +3.00,OPTICA,OPTICA,,,,,,,,,,,1
18MPLG,180x150mm Lime Green  Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
18MPP,180x150mm Purple  Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
18MPR,180x150mm Red Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
18MPVW,(18MPVW) Visique Personalised 180x150mm Cloths - White,OPTICA,OPTICA,,,,,,,,,,,1
18MPW,180x150mm White Printed M/C,OPTICA,OPTICA,,,,,,,,,,,1
18MPW-PEZZIOPTPV,Pezzimenti 180x150mm White Printed M/C,CMAUSD,CMA Global,11/07/2016,$0.271,$0.061,$0.449,$0.190,,MKC 180X150,4,Weeks,11/07/2016,1
18MULG,180x150mm Lime Green  Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
18MUP,180x150mm Purple  Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
18MUR,180x150mm Red Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
18MUW,180x150mm White Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
30MLDSP,24pcs Perspex stand for 30ml Bottles,EASYC,"Easyclean Co.,Ltd",9/07/2018,$6.799,$0.064,$6.863,$0.000,,30PERSPEX,,Weeks,9/07/2018,0
30MLDSP,24pcs Perspex stand for 30ml Bottles,EASYCUSD,"Easyclean Co.,Ltd",1/10/2017,$0.000,$0.000,$0.000,$4.650,,30PERSPEX,12,Weeks,26/09/2017,1
30MLZIP-00,Master Code for Personalised 30ml Solution Zip Pouch,EASYCUSD,"Easyclean Co.,Ltd",,,,,,,,,,,1
30MUM,300mm Mauve Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
30MUS,300 X 225mm Silver Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
30MUW,300mm White Unprinted M/C,OPTICA,OPTICA,,,,,,,,,,,1
3792044,(NZ/AU) Prosafe MITYWIPE Towelettes x300 (SACT40),EASYCUSD,"Easyclean Co.,Ltd",26/07/2019,$6.300,$0.610,$10.072,$6.300,,SACT40,6,Weeks,26/07/2019,1
40MLBUNGS,40ml Dropper Bottles Bungs,COSPAK,Cospak New Zealand Limited,16/07/2019,$0.100,$0.030,$0.130,$0.100,,PPPL00201.514401 LINED,2,Weeks,16/07/2019,0
40MLBUNGS,40ml Dropper Bottles Bungs,OPTICA,OPTICA,,,,,,,,,,,1
40MLCAPSBLACK,40ml Dropper Bottles Caps Black,COSPAK,Cospak New Zealand Limited,1/04/2015,$0.050,$0.003,$0.053,$0.050,,2018#400 BLACK DRIPOLATOR CA,,Weeks,24/03/2015,0
40MLCAPSBLACK,40ml Dropper Bottles Caps Black,OPTICA,OPTICA,,,,,,,,,,,1
40PET-G,40ML PET-G  Plain BOTTLES,AUG1,August Dean (NZ) Ltd,14/07/2008,$0.573,$0.000,$0.573,$0.364,,,,Days,14/07/2008,0
40PET-G,40ML PET-G  Plain BOTTLES,OPTICA,OPTICA,,,,,,,,,,,1
40PET-G,40ML PET-G  Plain BOTTLES,PACKTECH,Pack Teck Moulding (2011) Ltd,28/04/2017,$0.377,$0.000,$0.377,$0.000,,OL021.H.122,4,Weeks,28/04/2017,0
42OVERCAP-15,42ML OverCaps - Green,BLOW,Blowright,22/05/2009,$0.184,$0.000,$0.184,$0.000,,,,Weeks,22/05/2009,0
42OVERCAP-15,42ML OverCaps - Green,OPTICA,OPTICA,,,,,,,,,,,1
42OVERCAP-15,42ML OverCaps - Green,PACKTECH,Pack Teck Moulding (2011) Ltd,25/08/2015,$0.194,$0.001,$0.195,$0.194,,OL001.D.124,,Weeks,25/08/2015,0
42OVERCAP-44,42ML OverCaps - Red,BLOW,Blowright,16/03/2009,$0.187,$0.000,$0.187,$0.000,,,,Weeks,16/03/2009,0
42OVERCAP-44,42ML OverCaps - Red,OPTICA,OPTICA,,,,,,,,,,,1
42OVERCAP-44,42ML OverCaps - Red,PACKTECH,Pack Teck Moulding (2011) Ltd,23/04/2015,$0.194,$0.001,$0.195,$0.187,,OL001.D.127,,Weeks,23/04/2015,0
42PET-G,42ML PET-G OPAQUE BOTTLES,BLOW,Blowright,23/06/2009,$0.364,$0.000,$0.364,$0.000,,,,Days,23/06/2009,0
42PET-G,42ML PET-G OPAQUE BOTTLES,OPTICA,OPTICA,,,,,,,,,,,1
42PET-G,42ML PET-G OPAQUE BOTTLES,PACKTECH,Pack Teck Moulding (2011) Ltd,28/04/2017,$0.377,$0.001,$0.378,$0.377,,OL011.H.122,,Weeks,28/04/2017,0
7169264,(NZ/AU) Prosafe LENS CLEANER Mini Towelettes x500 (UWIPE),EASYCUSD,"Easyclean Co.,Ltd",14/05/2019,$8.500,$1.315,$14.249,$8.500,,UWIPE500,8,Weeks,14/05/2019,1
762485,MSA TOWELETTES X 100 (Clr and Clean mini towel),EASYCUSD,"Easyclean Co.,Ltd",30/07/2019,$2.550,$0.000,$3.846,$2.550,,762485,12,Weeks,30/07/2019,1
ACCST-PERSPEXBACK,PERSPEX BACK for ACCST Accessory Stand - White Base,FAB,Fab Plastics Ltd,31/07/2015,$35.850,$0.000,$35.850,$35.850,,,,Weeks,31/07/2015,0
ACCST-PERSPEXBACK,PERSPEX BACK for ACCST Accessory Stand - White Base,OPTICA,OPTICA,,,,,,,,,,,1
AGSH19-BL,"Avatude Gaming ""Shroud"" - Glossy Black/Blue",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AGSH19-GR,"Avatude Gaming ""Shroud"" - Glossy Black/Green",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AGSH19-PU,"Avatude Gaming ""Shroud"" - Glossy Black/Purple",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AGSH19-RD,"Avatude Gaming ""Shroud"" - Glossy Black/Red",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
ALL-SXYLEN,Xylene 17KG,ALL2,Allied Petroleum Ltd,15/10/2018,$129.200,$10.000,$139.200,$129.200,,,1,Weeks,15/10/2018,1
ANTI-005-44,Thin Elastic Cords -Red,OPTICA,OPTICA,,,,,,,,,,,1
ANTI-332-01,Nylon cord 70cm in length # 3 -Black,OPTICA,OPTICA,,,,,,,,,,,1
ANTI-332-04,Nylon cord 70cm in length -Grey,OPTICA,OPTICA,,,,,,,,,,,1
ANTI-332-20,Nylon cord 70cm in length # 4 -Navy,OPTICA,OPTICA,,,,,,,,,,,1
ANTI-332-45,Nylon cord 70cm in length -Burgandy,OPTICA,OPTICA,,,,,,,,,,,1
ARQ - CYAN INK - 4880,Cyan Ink Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,31/10/2018,$190.470,$2.250,$192.720,$190.470,,T606200,4,Weeks,31/10/2018,1
ARQ - L/ MAGENTA INK - 4880,Light Magenta Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,6/10/2017,$0.000,$0.000,$0.000,$190.470,,T606600,4,Weeks,,1
ARQ - L/L/ - 4880,Light Light Black Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,6/10/2017,$0.000,$0.000,$0.000,$190.470,,T606900,4,Weeks,,1
ARQ - LIGHT BLACK INK - 4880,Light Black Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,6/10/2017,$0.000,$0.000,$0.000,$190.470,,T606700,4,Weeks,,1
ARQ - LIGHT CYAN INK - 4880,Light Cyan Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,6/10/2017,$0.000,$0.000,$0.000,$190.470,,T606500,4,Weeks,,1
ARQ - MAGENTA INK - 4880,Magenta Ink Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,31/10/2018,$190.470,$2.250,$192.720,$190.470,,T606300,4,Weeks,31/10/2018,1
ARQ - PHOTO BLACK INK - 4880,Photo Black Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,26/10/2017,$190.470,$6.500,$196.970,$190.470,,T606100,4,Weeks,26/10/2017,1
ARQ - YELLOW INK - 4880,Yellow Ink Ink - Epson Stylus 4880,AARQUE,Aarque Graphics,31/10/2018,$190.470,$2.250,$192.720,$190.470,,T606400,4,Weeks,31/10/2018,1
ARTCHANGES,Changes to Existing Artwork Fee,OPTICA,OPTICA,,,,,,,,,,,1
ARTNEW,New Artwork Fee,OPTICA,OPTICA,,,,,,,,,,,1
AVK2807-09,"Avatude ""Aurora"" - Black/Blue Rubber (49-16-120)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVK2827-09,"Avatude ""Cobalt"" - Black/Blue Rubber (47-15-130)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA01-01,"Avatude ""Ryland"" - Matte Black Acetate (50-16-135)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA01-11,"Avatude ""Ryland"" - Glossy Black Acetate (50-16-135) +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA01-20,"Avatude ""Ryland"" - Matte Navy Acetate (50-16-135)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA01-21,"Avatude ""Ryland"" - Glossy Navy Acetate (50-16-135)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA02-01,"Avatude ""Brooklyn"" - Matte Black Acetate (54-16-140)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA02-11,"Avatude ""Brooklyn"" - Glossy Black Acetate (54-16-140)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA02-20,"Avatude ""Brooklyn"" - Matte Navy Acetate (54-16-140)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVKA02-21,"Avatude ""Brooklyn"" - Glossy Navy Acetate (54-16-140)  +0.00",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0118-0,"Avatude ""Delray"" Black Power +0.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,13/08/2018,$1.100,$3.657,$5.333,$0.000,,KLRI1805 BLACK,,Weeks,13/08/2018,1
AVRD0118-1,"Avatude ""Delray"" Black Power +1.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0118-15,"Avatude ""Delray"" Black Power +1.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0118-2,"Avatude ""Delray"" Black Power +2.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0118-25,"Avatude ""Delray"" Black Power +2.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0118-3,"Avatude ""Delray"" Black Power +3.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0218-0,"Avatude ""Delray"" Tort Power +0.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,13/08/2018,$1.100,$3.657,$5.333,$0.000,,KLRI1805 TORT,,Weeks,13/08/2018,1
AVRD0218-1,"Avatude ""Delray"" Tort Power +1.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0218-15,"Avatude ""Delray"" Tort Power +1.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0218-2,"Avatude ""Delray"" Tort Power +2.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0218-25,"Avatude ""Delray"" Tort Power +2.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0218-3,"Avatude ""Delray"" Tort Power +3.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0318-0,"Avatude ""Delray"" Blue Power +0.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,13/08/2018,$1.100,$3.657,$5.333,$0.000,,KLRI1805 BLUE,,Weeks,13/08/2018,1
AVRD0318-1,"Avatude ""Delray"" Blue Power +1.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0318-15,"Avatude ""Delray"" Blue Power +1.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0318-2,"Avatude ""Delray"" Blue Power +2.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0318-25,"Avatude ""Delray"" Blue Power +2.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0318-3,"Avatude ""Delray"" Blue Power +3.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0418-0,"Avatude ""Delray"" Deep Red Power +0.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,13/08/2018,$1.100,$3.657,$5.333,$0.000,,KLRI1805 DEEP RED,,Weeks,13/08/2018,1
AVRD0418-1,"Avatude ""Delray"" Deep Red Power +1.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0418-15,"Avatude ""Delray"" Deep Red Power +1.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0418-2,"Avatude ""Delray"" Deep Red Power +2.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0418-25,"Avatude ""Delray"" Deep Red Power +2.50 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVRD0418-3,"Avatude ""Delray"" Deep Red Power +3.00 Computer Lens",KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
AVSTAND6PC,(AVSTAND6PC) Avatude Felt Stand 6pc,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",,,,,,,,,,,1
BAGS-BAG1,"Soft Bag, 9 frame trays, side Handles / Internal pocket",D&D,"Wenzhou D&D international Trade Co., Ltd",8/03/2018,$119.920,$7.587,$127.507,$85.000,,BAG1,12,Weeks,8/03/2018,0
BAGS-BAG1,"Soft Bag, 9 frame trays, side Handles / Internal pocket",D&DUSD,"Wenzhou D&D international Trade Co., Ltd",31/08/2018,$0.000,$0.000,$0.000,$85.000,,BAG1,12,Weeks,,1
BAGS-BAG2,"Tall Bay Internal Wheel Handle, 17 Trays inc Cover",D&D,"Wenzhou D&D international Trade Co., Ltd",8/03/2018,$261.540,$7.587,$269.127,$188.000,,BAG-BAG2,12,Weeks,8/03/2018,0
BAGS-BAG2,"Tall Bay Internal Wheel Handle, 17 Trays inc Cover",D&DUSD,"Wenzhou D&D international Trade Co., Ltd",31/08/2018,$0.000,$0.000,$0.000,$188.000,,BAG-BAG2,12,Weeks,,1
BAGS-BAG3,Hard 24 Trays - Vertical Internal Wheel Handle,D&D,"Wenzhou D&D international Trade Co., Ltd",8/03/2018,$291.790,$7.587,$299.377,$210.000,,BAG-BAG3,12,Weeks,8/03/2018,0
BAGS-BAG3,Hard 24 Trays - Vertical Internal Wheel Handle,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",31/08/2018,$0.000,$0.000,$0.000,$210.000,,BAG-BAG3,12,Weeks,,1
BAGS-BAG4,Hard 24 Trays - no handles,D&D,"Wenzhou D&D international Trade Co., Ltd",8/03/2018,$291.790,$7.587,$299.377,$210.000,,BAG-BAG4,12,Weeks,8/03/2018,0
BAGS-BAG4,Hard 24 Trays - no handles,D&DUSD,"Wenzhou D&D international Trade Co., Ltd",31/08/2018,$0.000,$0.000,$0.000,$210.000,,BAG-BAG4,12,Weeks,,1
BASIC-HANGSELL,Plastic Classic Reader Hangsell Header Card,KEEN,Keen Look Co. Ltd,28/09/2015,$0.163,$0.077,$0.240,$0.000,,,,Weeks,28/09/2015,0
BASIC-HANGSELL,Plastic Classic Reader Hangsell Header Card,KEENUSD,Keen Look Co. Ltd,,,,,,,,,,,1
BASKET-PERSPEXDBL,Clear Perspex Basket for DBL Floor Stand - Large,FAB,Fab Plastics Ltd,23/04/2015,$29.000,$0.000,$29.000,$0.000,,,4,Weeks,23/04/2015,1
BASKET-PERSPEXSGL,Clear Perspex Basket for SGL Floor Stand - Small,FAB,Fab Plastics Ltd,30/06/2016,$24.500,$0.250,$24.750,$13.500,,,4,Weeks,30/06/2016,1
BKW60M,60ml KENSSAFE Lens cleaner,PROSBUSD,Prosben Inc,19/02/2019,$0.490,$0.133,$0.849,$0.490,,PRO-CRC/60/OPL1,12,Weeks,19/02/2019,1
BLHCGEL30,BLISMA - Hot Cold Compress Packs,TOPSUSD,Tops Medical Articles Industry Inc,13/08/2018,$1.660,$0.318,$2.847,$1.660,,BLHCGEL30,12,Weeks,13/08/2018,1
